Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
5627,159.2,85,37,46,45,32.4,78.32,48.48,0.22,168
5628,147.76,86,37,47,45,32.38,57.96,57.42,0.33,170
5629,129.89,86,37,47,45,32.44,72.18,25.27,0.23,170
5630,128.48,86,37,48,44,32.86,68.78,26.83,0.52,171
5631,131.1,86,37,48,45,32.87,71.56,26.67,0.35,171
5632,119.2,87,37,47,45,32.48,64.2,22.52,0.49,171
5633,121.87,86,37,47,44,32.39,63.46,26.01,0.18,170
5634,142.68,86,37,47,44,32.44,76.01,34.22,0.23,170
5635,129.01,86,37,47,44,32.45,73.42,23.15,0.34,170
5636,108.23,85,37,47,44,32.44,55.2,20.6,0.4,169
5637,142.47,85,37,47,44,32.61,84.52,25.34,0.4,169
5638,173.94,85,37,47,44,32.64,72.9,68.41,0.39,169
5639,115.47,86,37,47,44,32.58,59.28,23.61,0.3,170
5640,114.13,85,37,47,45,32.6,61.01,20.52,0.38,169
5641,162.67,86,37,47,44,32.73,72.99,56.95,0.37,170
5642,135.65,85,36,47,44,33.06,77.99,24.61,0.69,168
5643,120.7,86,36,47,44,33.09,62.06,25.55,0.23,169
5644,114.27,86,36,47,44,33.13,55.43,25.72,0.09,169
5645,123.14,86,37,47,44,33.04,67.32,22.77,0.19,170
5646,134.99,86,37,47,44,33.07,64.01,37.91,0.16,170
5647,118.46,86,37,47,44,32.97,64.81,20.68,0.31,170
5648,159.99,86,37,47,44,32.88,62.16,64.95,0.19,170
5649,143.82,85,37,47,44,33.02,85.88,24.93,0.36,169
5650,129.88,86,37,47,44,33.05,74.46,22.37,0.57,170
5651,164.81,88,37,47,45,32.55,56.57,75.69,0.67,172
5652,119.78,88,37,47,45,32.58,63.61,23.59,0.38,172
5653,133.09,88,37,47,45,32.53,73.6,26.97,0.34,172
5654,136.69,87,37,47,45,32.61,55.82,48.26,0.37,171
5655,130.65,87,37,47,45,32.54,67.52,30.58,0.23,171
5656,124.82,86,37,46,45,32.62,69.32,22.88,0.38,169
5657,163.35,87,37,47,45,32.68,59.33,71.35,0.45,171
5658,161.92,87,37,47,45,32.72,65.32,63.88,0.17,171
5659,165.49,87,37,47,45,32.59,71.59,61.32,0.47,171
5660,120.7,87,37,47,45,32.53,69.58,18.59,0.2,171
5661,150.68,85,38,47,44,32.56,71.58,46.54,0.57,170
5662,151.44,86,38,47,44,32.5,64.29,54.64,0.14,171
5663,130.51,86,38,47,45,32.53,66.24,31.75,0.16,171
5664,123.09,86,37,47,44,32.44,65.3,25.35,0.25,170
5665,174.83,87,37,47,45,32.54,67.74,74.55,0.28,171
5666,115.22,86,37,47,44,33.41,54.81,27,0.41,170
5667,125.36,86,37,47,45,32.56,67.9,24.9,0.36,170
5668,128.65,88,37,47,45,32.32,69.61,26.71,0.39,172
5669,116.83,86,37,47,44,32.48,63.43,20.93,0.39,170
5670,159.7,87,37,47,44,32.27,59.31,68.12,0.29,171
5671,110.64,86,37,47,44,32.3,57.83,20.52,0.35,170
5672,116.55,86,37,47,44,32.28,63.18,21.09,0.07,170
5673,121.22,87,37,47,44,32.31,65.74,23.17,0.17,171
5674,120.6,85,37,47,44,32.5,61.07,27.03,0.31,169
5675,120.78,85,37,47,44,32.5,67.34,20.94,0.21,169
5676,128.26,85,37,47,44,32.29,70.19,25.78,0.38,169
5677,111.91,85,37,47,44,32.36,59.58,19.97,0.33,169
5678,110.92,86,37,47,44,32.46,54.07,24.39,0.13,170
5679,119.37,85,37,47,44,32.44,68.4,18.53,0.37,169
5680,176.58,86,37,47,44,32.49,73.28,70.8,0.14,170
5681,111.26,86,37,47,44,32.41,60.01,18.84,0.2,170
5682,141.48,86,37,46,44,32.51,77.46,31.51,0.44,169
5683,147.02,85,37,46,44,32.55,62.17,52.3,0.36,168
5684,116.07,85,37,46,45,32.46,62.71,20.91,0.41,168
5685,148.31,86,37,46,45,32.31,59.63,56.36,0.2,169
5686,114.81,86,37,46,45,32.31,63.62,18.87,0.17,169
5687,145.28,85,37,46,45,32.29,58.81,54.18,0.36,168
5688,174.14,85,37,46,45,32.3,71.16,70.69,0.23,168
5689,115.21,85,37,46,44,32.32,60.78,22.11,0.22,168
5690,123.55,85,37,46,44,32.39,70.58,20.58,0.36,168
5691,125.27,85,37,46,44,32.51,68.79,23.98,0.24,168
5692,111.08,84,37,46,44,33.38,55.06,22.64,0.37,167
5693,104.97,85,37,46,45,33.19,54.06,17.71,0.46,168
5694,161.83,85,37,46,45,33.12,59.42,69.29,0.36,168
5695,115.59,86,37,46,45,33.37,57.82,24.4,0.31,169
5696,116.94,86,37,47,45,33.17,61.43,22.34,0.51,170
5697,149.1,86,37,47,45,33.15,58.52,57.43,0.3,170
5698,138.1,86,37,47,45,32.25,85.61,20.24,0.47,170
5699,122.94,87,37,46,44,32.2,68.34,22.4,0.62,170
5700,139.92,86,37,46,44,32.09,61.21,46.61,0.24,169
5701,125.43,87,37,46,44,32.21,69.97,23.25,0.31,170
5702,110.69,86,37,46,44,32.06,58.33,20.31,0.28,169
5703,139.82,86,37,46,44,32.13,79.08,28.6,0.27,169
5704,148.46,85,37,46,44,33.09,64.46,50.91,0.5,168
5705,119.44,85,37,46,44,33.24,57.22,28.99,0.65,168
5706,96.54,86,37,46,44,32.95,44.84,18.74,0.53,169
5707,119.47,86,37,46,44,32.94,64.18,22.35,0.15,169
5708,123.34,86,37,47,44,32.89,66.37,24.08,0.22,170
5709,121.62,86,37,46,44,33.01,63.94,24.67,0.32,169
5710,104.78,86,37,47,44,32.98,50.64,21.16,0.45,170
5711,116.98,86,37,46,44,32.97,59.95,24.06,0.49,169
5712,162.04,86,37,47,44,32.97,62.81,66.25,0.37,170
5713,115.52,85,37,47,44,33.04,58.93,23.55,0.58,169
5714,147.97,86,37,47,44,32.96,55.1,59.91,0.25,170
5715,159.34,86,37,47,44,32.97,72.57,53.8,0.58,170
5716,161.08,85,37,47,44,33.28,58.85,68.95,0.52,169
5717,155.91,85,37,47,44,33.22,71.55,51.14,0.05,169
5718,122.99,85,37,47,44,33.2,66.32,23.48,0.27,169
5719,113.6,85,37,47,44,33.17,58.82,21.61,0.44,169
5720,116.65,85,37,47,44,33.19,57.47,25.99,0.17,169
5721,126.34,85,37,47,44,32.92,68.76,24.66,0.37,169
5722,115.41,85,37,47,44,33.01,60.22,22.18,0.39,169
5723,125.19,85,36,47,44,33.03,69.01,23.16,0.14,168
5724,132.58,85,37,47,44,33,73.74,25.84,0.18,169
5725,151.85,85,37,47,44,32.96,61.92,56.97,0.47,169
5726,125.88,85,37,47,44,33.15,68.44,24.28,0.11,169
